,coupon,last,days,df
2022-10-25,0.0,2.7333,28,0.9978786098632916
2022-12-22,0.0,3.2672,86,0.9922554681214337
2023-03-23,0.0,3.9108,177,0.9811346449337492
2023-09-07,0.0,4.0905,345,0.9622780971672337
2025-09-15,0.0,4.358693113402899,1084,0.8839817352657152
2027-08-31,0.0,4.268969806266519,1799,0.824178151017289
2029-08-31,0.0,4.3495516844402,2530,0.7658863047437228
2032-08-15,0.0,4.37810250788373,3610,0.6949142883614345
2042-08-15,0.0,5.940903703217269,7262,0.4548737292613266
2052-08-15,0.0,5.779835339465318,10915,0.3633174416400905
